É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/10/20 10:42:07

,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû,ìåãû
2020/10/29,9.7,0,8,1,0,1,8,,,,1,2.9,8,1,10.6,8,1,55,8,1,1016.3,8,1,1013.4,8,1,4.8,8,1,17.3,8,1,15.43,8,1,0,1,8,1,0,1,8,1,22.8,8,2020/10/29 13:02,8,1,13.0,8,2020/10/29 06:00,8,1,ñkñkêº,8,1,5.6,8,2020/10/29 10:07,8,ñkêº,8,1,1014.7,0,8,2020/10/29 13:39,0,8,1,32,8,2020/10/29 14:05,8,1,0,1,8,2020/10/30 0:00,1,8,1,9.9,8,2020/10/29 10:00,8,ñkêº,8,1,ê∞,8,1,ì‹,8,1
2020/10/30,1.6,0,8,1,0,1,8,,,,1,3.2,8,1,8.1,8,1,47,8,1,1018.7,8,1,1015.8,8,1,6.3,8,1,14.9,8,1,8.13,8,1,0.0,0,8,1,0,1,8,1,18.5,8,2020/10/30 11:16,8,1,11.1,8,2020/10/30 23:52,8,1,ñkñkêº,8,1,5.8,8,2020/10/30 06:16,8,ñkñkêº,8,1,1016.3,0,8,2020/10/30 13:32,0,8,1,35,8,2020/10/30 17:51,8,1,0.0,0,8,2020/10/30 13:35,0,8,1,10.4,8,2020/10/30 18:45,8,ñkêº,8,1,ì‹å„éûÅXê∞,8,1,ê∞,8,1
2020/10/31,9.6,0,8,1,0,1,8,,,,1,2.4,8,1,8.3,8,1,54,8,1,1025.7,8,1,1022.7,8,1,0.0,8,1,13.8,8,1,15.40,8,1,0,1,8,1,0,1,8,1,19.2,8,2020/10/31 13:35,8,1,9.2,8,2020/10/31 06:24,8,1,ñkñkêº,8,1,4.7,8,2020/10/31 09:34,8,ñkêº,8,1,1022.6,0,8,2020/10/31 00:11,0,8,1,35,8,2020/10/31 14:32,8,1,0,1,8,2020/11/1 0:00,1,8,1,7.5,8,2020/10/31 18:04,8,ìåìÏìå,8,1,âıê∞,8,1,ê∞,8,1
2020/11/1,2.7,0,8,1,0,1,8,,,,1,2.1,8,1,11.1,8,1,69,8,1,1025.5,8,1,1022.6,8,1,7.5,8,1,14.3,8,1,9.17,8,1,0,1,8,1,0,1,8,1,19.9,8,2020/11/1 12:40,8,1,9.0,8,2020/11/1 06:00,8,1,ñkêº,8,1,4.5,8,2020/11/1 19:21,8,êºñkêº,8,1,1022.5,0,8,2020/11/1 18:00,0,8,1,46,8,2020/11/1 12:28,8,1,0,1,8,2020/11/1 10:40,1,8,1,6.9,8,2020/11/1 19:12,8,êºñkêº,8,1,ì‹,8,1,îñì‹éûÅXê∞,8,1
2020/11/2,2.7,0,8,1,0,1,8,,,,1,1.8,8,1,13.8,8,1,78,8,1,1017.0,8,1,1014.1,8,1,8.0,8,1,15.6,8,1,8.01,8,1,2.5,0,8,1,0,1,8,1,23.6,8,2020/11/2 12:04,8,1,11.6,8,2020/11/2 05:53,8,1,ñkêº,8,1,5.2,8,2020/11/2 11:56,8,ìÏìÏêº,8,1,1011.4,0,8,2020/11/2 23:51,0,8,1,56,8,2020/11/2 13:23,8,1,0.5,0,8,2020/11/2 23:58,0,8,1,9.7,8,2020/11/2 12:10,8,êºìÏêº,8,1,ì‹éûÅXê∞å„àÍéûâJ,8,1,âJå„àÍéûì‹,8,1
2020/11/3,0.2,0,8,1,0,1,8,,,,1,1.8,8,1,15.6,8,1,92,8,1,1007.3,8,1,1004.4,8,1,10.0,8,1,14.8,8,1,4.63,8,1,4.5,0,8,1,0,1,8,1,17.1,8,2020/11/3 14:05,8,1,12.8,8,2020/11/3 23:57,8,1,ñkêº,8,1,4.4,8,2020/11/4 0:00,8,ñkêº,8,1,1004.4,0,8,2020/11/3 20:32,0,8,1,71,8,2020/11/4 0:00,8,1,0.5,0,8,2020/11/3 06:55,0,8,1,9.2,8,2020/11/3 23:57,8,ñkêº,8,1,ì‹,8,1,ê∞àÍéûì‹,8,1
2020/11/4,8.6,0,8,1,0,1,8,,,,1,3.0,8,1,7.3,8,1,47,8,1,1014.6,8,1,1011.7,8,1,2.0,8,1,13.7,8,1,14.83,8,1,0,1,8,1,0,1,8,1,18.6,8,2020/11/4 12:42,8,1,9.8,8,2020/11/4 06:40,8,1,ñkêº,8,1,8.2,8,2020/11/4 03:18,8,ñkêº,8,1,1005.7,0,8,2020/11/4 00:01,0,8,1,27,8,2020/11/4 15:07,8,1,0,1,8,2020/11/5 0:00,1,8,1,15.8,8,2020/11/4 03:26,8,êºñkêº,8,1,ê∞,8,1,ê∞,8,1
2020/11/5,9.2,0,8,1,0,1,8,,,,1,2.1,8,1,8.5,8,1,56,8,1,1024.2,8,1,1021.2,8,1,0.5,8,1,13.4,8,1,14.60,8,1,0,1,8,1,0,1,8,1,19.4,8,2020/11/5 13:46,8,1,9.1,8,2020/11/5 06:33,8,1,ñkñkêº,8,1,3.6,8,2020/11/5 08:52,8,ñkñkêº,8,1,1020.6,0,8,2020/11/5 00:24,0,8,1,31,8,2020/11/5 14:28,8,1,0,1,8,2020/11/6 0:00,1,8,1,6.6,8,2020/11/5 02:26,8,ñk,8,1,âıê∞,8,1,ì‹éûÅXê∞,8,1
2020/11/6,0.4,0,8,1,0,1,8,,,,1,1.7,8,1,9.9,5,1,67,5,1,1024.8,5,1,1022.0,8,1,9.8,8,1,12.8,5,1,5.49,8,1,0,1,8,1,0,1,8,1,16.2,8,2020/11/6 14:23,8,1,10.6,8,2020/11/6 05:52,8,1,ñkñkêº,8,1,3.2,8,2020/11/6 03:52,8,ñkñkêº,8,1,1020.6,0,8,2020/11/7 0:00,0,8,1,53,8,2020/11/6 13:01,8,1,0,1,8,2020/11/7 0:00,1,8,1,5.8,8,2020/11/6 03:47,8,ñkñkêº,8,1,ì‹,8,1,ì‹,8,1
2020/11/7,1.2,0,8,1,0,1,8,,,,1,1.6,8,1,13.8,8,1,77,8,1,1015.1,8,1,1012.2,8,1,9.5,8,1,15.5,8,1,6.74,8,1,0.0,0,8,1,0,1,8,1,20.6,8,2020/11/7 13:16,8,1,11.5,8,2020/11/7 06:04,8,1,ñkñkêº,8,1,4.3,8,2020/11/7 14:12,8,ìÏ,8,1,1009.3,0,8,2020/11/7 23:53,0,8,1,57,8,2020/11/7 13:11,8,1,0.0,0,8,2020/11/7 23:56,0,8,1,7.1,8,2020/11/7 18:02,8,ìÏìÏìå,8,1,ì‹,8,1,ì‹éûÅXâJ,8,1
2020/11/8,1.1,0,8,1,0,1,8,,,,1,1.8,8,1,14.8,8,1,75,8,1,1009.1,8,1,1006.3,8,1,10.0,8,1,17.3,8,1,7.88,8,1,2.5,0,8,1,0,1,8,1,22.4,8,2020/11/8 12:36,8,1,13.5,8,2020/11/8 21:52,8,1,ñkêº,8,1,5.7,8,2020/11/8 21:42,8,ñkêº,8,1,1007.4,0,8,2020/11/8 14:20,0,8,1,47,8,2020/11/8 23:34,8,1,2.5,0,8,2020/11/8 20:40,0,8,1,9.9,8,2020/11/8 23:55,8,ñkêº,8,1,ì‹,8,1,ì‹éûÅXê∞,8,1
2020/11/9,2.9,0,8,1,0,1,8,,,,1,3.1,8,1,6.8,8,1,44,8,1,1013.4,8,1,1010.5,8,1,4.3,8,1,13.5,8,1,8.64,8,1,0,1,8,1,0,1,8,1,18.3,8,2020/11/9 12:17,8,1,10.5,8,2020/11/9 22:20,8,1,ñkñkêº,8,1,6.7,8,2020/11/9 02:43,8,ñkñkêº,8,1,1009.1,0,8,2020/11/9 00:06,0,8,1,28,8,2020/11/9 13:16,8,1,0,1,8,2020/11/10 0:00,1,8,1,12.9,8,2020/11/9 01:22,8,ñkêº,8,1,ê∞,8,1,ê∞éûÅXì‹,8,1
2020/11/10,8.7,0,8,1,0,1,8,,,,1,2.4,8,1,6.8,8,1,50,8,1,1019.9,8,1,1016.9,8,1,2.8,8,1,11.9,8,1,14.00,8,1,0,1,8,1,0,1,8,1,16.9,8,2020/11/10 13:14,8,1,8.6,8,2020/11/10 05:50,8,1,ñkñkêº,8,1,4.7,8,2020/11/10 12:01,8,ñk,8,1,1016.5,0,8,2020/11/10 00:40,0,8,1,28,8,2020/11/10 13:24,8,1,0,1,8,2020/11/11 0:00,1,8,1,9.6,8,2020/11/10 12:34,8,ñkìå,8,1,âıê∞,8,1,ê∞àÍéûì‹,8,1
2020/11/11,9.1,0,8,1,0,1,8,,,,1,3.1,8,1,6.5,8,1,48,8,1,1028.6,8,1,1025.6,8,1,1.5,8,1,11.9,8,1,13.67,8,1,0,1,8,1,0,1,8,1,16.9,8,2020/11/11 13:19,8,1,8.3,8,2020/11/12 0:00,8,1,ñkñkêº,8,1,6.9,8,2020/11/11 11:09,8,ñkêº,8,1,1023.6,0,8,2020/11/11 00:56,0,8,1,31,8,2020/11/11 12:25,8,1,0,1,8,2020/11/12 0:00,1,8,1,12.5,8,2020/11/11 09:32,8,ñkñkêº,8,1,ê∞,8,1,ê∞,8,1
2020/11/12,0.5,0,8,1,0,1,8,,,,1,2.2,8,1,7.9,8,1,63,8,1,1032.7,8,1,1029.7,8,1,7.3,8,1,10.2,8,1,6.04,8,1,0,1,8,1,0,1,8,1,13.1,8,2020/11/12 14:51,8,1,6.2,8,2020/11/12 06:28,8,1,ñk,8,1,3.9,8,2020/11/12 03:10,8,ñkêº,8,1,1029.6,0,8,2020/11/13 0:00,0,8,1,52,8,2020/11/12 13:00,8,1,0,1,8,2020/11/13 0:00,1,8,1,6.5,8,2020/11/12 03:55,8,ñkêº,8,1,ì‹àÍéûê∞,8,1,ì‹,8,1
2020/11/13,8.7,0,8,1,0,1,8,,,,1,1.7,8,1,10.5,8,1,67,8,1,1024.8,8,1,1021.9,8,1,3.8,8,1,13.7,8,1,12.87,8,1,0,1,8,1,0,1,8,1,19.0,8,2020/11/13 13:46,8,1,9.7,8,2020/11/13 06:19,8,1,ñkñkêº,8,1,3.3,8,2020/11/13 09:14,8,ñkñkêº,8,1,1021.4,0,8,2020/11/13 15:57,0,8,1,49,8,2020/11/13 10:40,8,1,0,1,8,2020/11/14 0:00,1,8,1,6.3,8,2020/11/13 09:06,8,ñkñkêº,8,1,ê∞,8,1,âıê∞,8,1
2020/11/14,9.3,0,8,1,0,1,8,,,,1,2.4,8,1,8.9,8,1,56,8,1,1026.0,8,1,1023.0,8,1,0.0,8,1,14.7,8,1,13.62,8,1,0,1,8,1,0,1,8,1,20.3,8,2020/11/14 13:32,8,1,10.4,8,2020/11/15 0:00,8,1,ñkñkêº,8,1,5.4,8,2020/11/14 08:36,8,ñkñkêº,8,1,1022.5,0,8,2020/11/14 02:51,0,8,1,28,8,2020/11/14 14:21,8,1,0,1,8,2020/11/15 0:00,1,8,1,10.2,8,2020/11/14 09:28,8,ñkñkêº,8,1,âıê∞,8,1,âıê∞,8,1
2020/11/15,9.2,0,8,1,0,1,8,,,,1,2.5,8,1,10.0,8,1,65,8,1,1028.7,8,1,1025.7,8,1,3.8,8,1,13.4,8,1,12.81,8,1,0,1,8,1,0,1,8,1,18.6,8,2020/11/15 13:54,8,1,7.5,8,2020/11/15 06:19,8,1,ìÏ,8,1,5.6,8,2020/11/15 16:17,8,ìÏ,8,1,1025.1,0,8,2020/11/15 23:31,0,8,1,48,8,2020/11/15 10:33,8,1,0,1,8,2020/11/16 0:00,1,8,1,9.2,8,2020/11/15 16:24,8,ìÏìÏìå,8,1,ê∞,8,1,ê∞éûÅXì‹,8,1
2020/11/16,9.2,0,8,1,0,1,8,,,,1,1.5,8,1,11.1,8,1,66,8,1,1023.2,8,1,1020.3,8,1,3.0,8,1,14.7,8,1,12.33,8,1,0,1,8,1,0,1,8,1,21.4,8,2020/11/16 13:19,8,1,9.1,8,2020/11/16 05:28,8,1,ñkñkêº,8,1,3.3,8,2020/11/16 21:11,8,êºñkêº,8,1,1020.3,0,8,2020/11/16 13:57,0,8,1,48,8,2020/11/16 14:48,8,1,0,1,8,2020/11/17 0:00,1,8,1,5.7,8,2020/11/16 23:17,8,ñkêº,8,1,ê∞,8,1,âıê∞,8,1
2020/11/17,8.5,0,5,1,0,1,8,,,,1,2.3,5,1,10.6,8,1,62,8,1,1027.7,8,1,1024.8,8,1,0.5,8,1,15.2,8,1,10.94,5,1,0,1,8,1,0,1,8,1,20.7,8,2020/11/17 13:02,8,1,10.8,8,2020/11/17 06:26,8,1,ìÏìå,5,1,5.4,5,2020/11/17 16:51,5,ìÏìÏìå),5,1,1024.7,0,8,2020/11/17 00:18,0,8,1,39,8,2020/11/17 13:09,8,1,0,1,8,2020/11/18 0:00,1,8,1,8.3,5,2020/11/17 17:57,5,ìÏìÏìå),5,1,âıê∞,8,1,ê∞å„îñì‹,8,1
2020/11/18,8.3,0,8,1,0,1,8,,,,1,2.0,8,1,13.8,8,1,77,8,1,1025.2,8,1,1022.3,8,1,5.3,8,1,15.8,8,1,10.60,8,1,0,1,8,1,0,1,5,1,21.4,8,2020/11/18 13:36,8,1,10.3,8,2020/11/18 04:47,8,1,ñkêº,8,1,4.6,8,2020/11/18 15:34,8,ìÏ,8,1,1022.7,0,8,2020/11/18 15:01,0,8,1,52,8,2020/11/18 13:21,8,1,0,1,8,2020/11/19 0:00,1,8,1,8.5,8,2020/11/18 15:01,8,ìÏìå,8,1,ê∞àÍéûì‹,8,1,ê∞å„îñì‹,8,1
