年月日,日照時間(時間),日照時間(時間).1 / 現象なし情報,最深積雪(cm),最深積雪(cm).1 / 現象なし情報,平均風速(m/s),平均蒸気圧(hPa),平均湿度(％),平均海面気圧(hPa),平均現地気圧(hPa),平均雲量(10分比),平均気温(℃),合計全天日射量(MJ/㎡),降水量の合計(mm),降水量の合計(mm).1 / 現象なし情報,降雪量合計(cm),降雪量合計(cm).1 / 現象なし情報,最高気温(℃),最低気温(℃),最多風向(16方位),最大風速(m/s),最大風速(m/s).4 / 風向,最低海面気圧(hPa),最低海面気圧(hPa).1 / 現象なし情報,最小相対湿度(％),10分間降水量の最大(mm),10分間降水量の最大(mm).1 / 現象なし情報,最大瞬間風速(m/s),最大瞬間風速(m/s).4 / 風向,天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
2013/11/11,2.9,0,0.0,1,3.7,8.2,56.0,1007.0,1002.7,7.5,12.5,8.48,1.5,0,0.0,1,16.8,8.3,北北西,8.2,北北西,1002.7,0,35.0,1.5,0,17.9,北西,曇後晴一時雨,晴後曇
2013/11/12,1.5,0,0.0,1,2.2,6.0,50.0,1011.4,1006.9,8.3,9.6,5.76,0.0,0,0.0,1,12.5,7.9,北西,4.5,北北西,1009.8,0,29.0,0.0,0,8.2,北北西,曇後晴,晴
2013/11/13,7.7,0,0.0,1,3.3,5.4,46.0,1016.8,1012.3,4.3,9.8,13.27,0.0,1,0.0,1,14.1,6.4,北北西,6.2,北北西,1011.4,0,28.0,0.0,1,11.4,北北西,晴後一時曇,晴一時曇
2013/11/14,6.9,0,0.0,1,2.0,6.6,51.0,1024.8,1020.3,5.5,10.8,12.02,0.0,0,0.0,1,14.5,6.2,北北西,3.8,北北西,1022.3,0,36.0,0.0,0,6.3,北北西,晴後曇,曇
2013/11/15,0.3,0,0.0,1,2.3,9.0,67.0,1019.0,1014.6,9.0,11.3,3.46,0.5,0,0.0,1,12.7,10.1,北西,5.6,北西,1014.9,0,51.0,0.5,0,8.8,北西,曇時々雨,薄曇後晴
2013/11/16,9.4,0,0.0,1,2.2,9.0,62.0,1016.6,1012.2,0.0,12.9,12.93,0.0,1,0.0,1,17.4,8.1,北北西,4.0,北北西,1014.3,0,35.0,0.0,1,6.5,北北西,快晴,晴
2013/11/17,9.0,0,0.0,1,2.2,9.9,62.0,1011.9,1007.5,4.8,14.1,11.97,0.0,1,0.0,1,19.2,9.3,南南西,5.9,南南西,1008.8,0,47.0,0.0,1,11.3,南南西,晴,晴一時曇
2013/11/18,8.6,0,0.0,1,3.0,8.6,54.0,1005.9,1001.5,2.0,14.4,11.86,0.0,1,0.0,1,20.1,9.9,南,7.1,南南西,1002.7,0,33.0,0.0,1,12.6,南南東,晴,晴一時曇
2013/11/19,8.9,0,0.0,1,3.4,5.1,35.0,1007.5,1003.1,1.0,12.7,12.5,0.0,1,0.0,1,17.4,8.2,南南西,7.3,南西,1004.7,0,23.0,0.0,1,14.5,南西,晴,快晴
2013/11/20,9.5,0,0.0,1,2.9,5.4,38.0,1009.6,1005.2,0.0,12.2,12.94,0.0,1,0.0,1,17.2,7.4,南南西,5.8,南,1007.4,0,27.0,0.0,1,9.9,南南西,快晴,快晴
2013/11/21,9.4,0,0.0,1,2.0,6.3,46.0,1014.2,1009.8,0.0,12.0,12.38,0.0,1,0.0,1,16.3,7.3,北西,4.6,西北西,1011.2,0,29.0,0.0,1,7.0,北北西,快晴,快晴
2013/11/22,9.2,0,0.0,1,2.2,7.3,51.0,1015.5,1011.1,1.0,12.4,12.17,0.0,1,0.0,1,17.6,7.2,西北西,4.3,西北西,1012.9,0,34.0,0.0,1,8.1,北北西,晴,晴
2013/11/23,9.2,0,0.0,1,2.5,7.2,50.0,1020.1,1015.6,2.3,12.6,12.43,0.0,1,0.0,1,15.7,9.6,北北西,4.3,南南東,1017.6,0,35.0,0.0,1,7.8,北北西,快晴,曇時々晴
2013/11/24,9.1,0,0.0,1,1.8,7.2,51.0,1020.4,1016.0,5.0,12.6,11.93,0.0,1,0.0,1,17.4,7.1,北北西,3.9,北北西,1018.5,0,33.0,0.0,1,7.2,北北西,快晴,晴後曇
2013/11/25,0.0,0,0.0,1,3.6,11.4,66.0,1012.1,1007.8,9.8,14.5,3.4,14.0,0,0.0,1,19.4,9.9,南南東,10.6,南,1000.5,0,45.0,5.5,0,19.5,南南東,曇後一時雨,雨一時曇後晴
2013/11/26,7.8,0,0.0,1,2.7,8.7,51.0,1005.5,1001.2,1.0,15.1,11.37,0.0,0,0.0,1,19.1,11.2,北北西,6.9,南,999.8,0,30.0,0.0,0,11.9,南南西,晴,晴後一時曇
2013/11/27,7.0,0,0.0,1,3.9,6.4,43.0,1013.0,1008.6,7.0,12.9,10.69,0.0,1,0.0,1,16.0,9.7,南,8.2,南,1008.0,0,28.0,0.0,1,14.1,南,曇後晴,曇時々晴
2013/11/28,3.5,0,0.0,1,3.8,7.0,43.0,1006.7,1002.3,9.0,14.0,6.57,0.0,1,0.0,1,18.0,8.7,南南西,7.4,南南西,1002.9,0,20.0,0.0,1,14.7,南南西,晴時々曇,晴一時薄曇
2013/11/29,9.1,0,0.0,1,3.0,4.2,34.0,1009.6,1005.2,0.5,9.8,11.98,0.0,1,0.0,1,14.1,5.9,南南西,7.4,南南西,1006.0,0,22.0,0.0,1,13.2,南南西,快晴,快晴
2013/11/30,8.5,0,0.0,1,2.6,5.7,46.0,1017.1,1012.7,1.3,10.2,11.25,0.0,1,0.0,1,14.1,6.0,北北西,5.0,北西,1013.5,0,26.0,0.0,1,8.3,北西,晴,快晴
2013/12/1,9.0,0,0.0,1,1.4,7.4,59.0,1016.4,1012.0,0.0,10.4,11.22,0.0,1,0.0,1,15.0,5.1,北西,3.5,西北西,1014.7,0,30.0,0.0,1,4.6,北北東,晴,快晴
2013/12/2,8.9,0,0.0,1,1.7,7.6,59.0,1015.8,1011.4,0.0,10.8,10.78,0.0,1,0.0,1,15.3,6.7,北西,3.7,北西,1013.8,0,45.0,0.0,1,5.4,北西,快晴,快晴
2013/12/3,8.9,0,0.0,1,2.1,7.2,53.0,1016.7,1012.3,2.3,11.7,11.14,0.0,1,0.0,1,16.3,7.3,北北西,3.9,南東,1015.1,0,31.0,0.0,1,6.7,北西,快晴,晴時々曇
2013/12/4,7.2,0,0.0,1,2.2,9.2,68.0,1015.8,1011.4,7.5,11.5,9.98,0.0,0,0.0,1,14.5,8.9,北北西,4.0,北西,1014.0,0,57.0,0.0,0,7.3,北西,晴時々曇,晴一時曇
2013/12/5,8.8,0,0.0,1,2.1,7.8,59.0,1015.0,1010.6,1.5,11.6,10.9,0.0,1,0.0,1,16.3,7.5,北北西,3.9,南南東,1012.1,0,34.0,0.0,1,7.3,北北西,快晴,晴後一時薄曇
2013/12/6,7.3,0,0.0,1,1.9,7.4,53.0,1009.7,1005.3,3.3,12.5,10.21,0.0,1,0.0,1,17.6,7.0,北北西,4.3,南南西,1006.7,0,31.0,0.0,1,6.6,南西,薄曇後晴,晴
2013/12/7,6.8,0,0.0,1,2.1,6.2,47.0,1013.9,1009.5,4.0,11.1,10.0,0.0,1,0.0,1,14.6,8.8,北北西,3.8,北北西,1011.5,0,32.0,0.0,1,7.9,北,晴,晴後時々曇
2013/12/8,2.7,0,0.0,1,2.4,5.1,46.0,1020.9,1016.4,8.0,8.8,7.11,0.0,1,0.0,1,11.2,6.7,北北西,4.9,北西,1017.3,0,37.0,0.0,1,7.8,北北西,曇時々晴,晴時々曇
2013/12/9,0.7,0,0.0,1,1.5,5.2,48.0,1018.3,1013.9,8.3,8.2,4.78,0.0,1,0.0,1,11.0,4.9,北北西,4.6,北北西,1010.3,0,37.0,0.0,1,7.0,北北西,曇,曇
2013/12/10,0.4,0,0.0,1,2.7,7.0,60.0,999.0,994.6,7.5,9.5,3.1,9.5,0,0.0,1,14.1,5.1,北西,8.2,西北西,989.8,0,40.0,3.0,0,14.1,北西,曇一時雨、雷を伴う,快晴
2013/12/11,4.0,0,0.0,1,2.9,5.6,45.0,1003.6,999.2,5.0,10.1,8.08,0.0,1,0.0,1,12.8,7.3,北北西,6.3,南南西,1000.7,0,36.0,0.0,1,12.9,南南西,曇時々晴,快晴
2013/12/12,7.8,0,0.0,1,2.9,4.1,34.0,1009.5,1005.1,1.5,9.9,10.74,0.0,1,0.0,1,13.2,7.9,南南西,6.7,南西,1001.6,0,21.0,0.0,1,11.6,南南西,晴,晴後一時薄曇
2013/12/13,8.5,0,0.0,1,4.3,5.1,43.0,1010.3,1005.8,2.3,9.7,11.09,0.0,1,0.0,1,14.9,4.1,南西,9.7,南西,1005.3,0,25.0,0.0,1,20.8,南南西,晴,快晴
2013/12/14,9.0,0,0.0,1,2.0,4.4,42.0,1013.6,1009.1,0.0,7.6,11.13,0.0,1,0.0,1,11.2,4.6,北西,4.4,南,1011.0,0,32.0,0.0,1,7.3,南東,快晴,快晴
2013/12/15,9.0,0,0.0,1,2.6,4.2,43.0,1013.9,1009.5,0.0,7.2,11.2,0.0,1,0.0,1,11.4,2.8,北北西,7.3,北北西,1011.9,0,27.0,0.0,1,12.8,北北西,快晴,晴
2013/12/16,8.2,0,0.0,1,4.9,3.4,32.0,1018.0,1013.5,6.8,8.2,10.88,0.0,1,0.0,1,11.9,5.4,北西,9.3,西北西,1015.0,0,22.0,0.0,1,16.9,西北西,晴後薄曇,薄曇
2013/12/17,4.4,0,0.0,1,2.2,4.7,41.0,1021.0,1016.6,10.0,9.2,8.84,0.0,1,0.0,1,12.0,7.0,北北西,4.9,北西,1019.0,0,30.0,0.0,1,8.6,西北西,薄曇,薄曇
2013/12/18,0.0,0,0.0,1,2.6,6.2,65.0,1020.2,1015.6,10.0,6.6,1.9,9.0,0,0.0,1,8.8,3.6,北北西,5.5,北北西,1018.0,0,51.0,0.5,0,10.4,北西,曇後雨,雨
2013/12/19,0.0,0,0.0,1,3.9,8.6,89.0,1013.4,1008.9,10.0,6.3,1.56,26.5,0,0.0,1,7.6,3.7,北北西,6.0,北北西,1007.0,0,83.0,1.0,0,11.4,北西,雨,雨
2013/12/20,0.5,0,0.0,1,3.2,7.8,82.0,1003.2,998.7,7.8,6.1,3.62,12.5,0,0.0,1,9.4,3.3,北北西,9.0,北西,998.4,0,59.0,1.5,0,16.5,北西,雨時々曇一時みぞれ、ひょうを伴う,快晴
2013/12/21,7.6,0,0.0,1,1.9,6.2,64.0,1007.2,1002.7,1.3,6.8,10.49,0.0,1,0.0,1,11.0,2.8,北北西,4.1,北北西,1003.4,0,43.0,0.0,1,6.5,北,晴,晴
2013/12/22,9.1,0,0.0,1,3.5,4.4,43.0,1016.8,1012.3,0.0,7.6,11.54,0.0,1,0.0,1,11.4,5.5,北北西,7.4,北北西,1012.2,0,23.0,0.0,1,13.4,西北西,快晴,快晴
2013/12/23,0.8,0,0.0,1,1.8,4.5,47.0,1020.8,1016.3,7.5,6.4,4.14,0.0,0,0.0,1,8.4,4.4,北北西,5.0,北西,1018.5,0,40.0,0.0,0,9.0,北西,曇一時晴,曇後一時晴
2013/12/24,7.3,0,0.0,1,2.9,4.0,39.0,1019.0,1014.5,4.0,7.6,10.12,0.0,1,0.0,1,12.5,4.5,北北西,5.9,北北西,1015.9,0,24.0,0.0,1,11.6,北北西,晴,快晴
2013/12/25,8.9,0,0.0,1,2.3,4.4,45.0,1026.8,1022.2,0.5,6.7,11.16,0.0,1,0.0,1,10.3,3.3,北北西,5.0,南南東,1023.5,0,23.0,0.0,1,8.6,北西,快晴,晴後薄曇
2013/12/26,0.1,0,0.0,1,2.0,5.7,59.0,1017.9,1013.3,10.0,6.3,4.13,0.5,0,0.0,1,10.0,3.4,北西,4.4,西北西,1006.8,0,48.0,0.5,0,7.4,北西,曇,雨
2013/12/27,0.0,0,0.0,1,2.5,6.7,66.0,1000.9,996.5,10.0,7.0,2.34,1.5,0,0.0,1,9.4,5.1,北北西,7.5,北西,997.6,0,31.0,0.5,0,14.4,北北西,曇時々雨,晴一時曇
2013/12/28,9.0,0,0.0,1,2.5,2.8,32.0,1007.0,1002.5,0.5,5.4,11.58,0.0,1,0.0,1,9.3,2.7,北西,5.3,西北西,1002.7,0,17.0,0.0,1,8.8,西北西,晴,快晴
2013/12/29,9.0,0,0.0,1,2.1,3.3,39.0,1012.8,1008.3,0.0,4.9,11.58,0.0,1,0.0,1,9.5,0.5,北北西,4.2,南南東,1010.2,0,16.0,0.0,1,6.7,南南東,快晴,快晴
2013/12/30,8.9,0,0.0,1,1.6,4.1,48.0,1011.9,1007.4,2.5,5.4,10.92,0.0,1,0.0,1,10.5,0.6,南南東,4.4,南南東,1009.9,0,24.0,0.0,1,6.7,南,晴後一時薄曇,快晴
2013/12/31,9.0,0,0.0,1,1.4,5.2,54.0,1009.9,1005.4,0.0,6.9,10.96,0.0,1,0.0,1,12.7,1.3,東北東,3.7,西北西,1008.2,0,29.0,0.0,1,5.2,西北西,快晴,快晴
2014/1/1,9.0,0,0.0,1,2.8,5.6,48.0,1005.7,1001.3,0.0,9.6,10.81,0.0,1,0.0,1,15.5,3.1,南南西,7.2,南,1001.9,0,32.0,0.0,1,13.1,南,晴,快晴
2014/1/2,8.8,0,0.0,1,2.8,4.6,46.0,1012.1,1007.6,0.8,7.3,11.16,0.0,1,0.0,1,12.1,3.1,北北西,6.4,北北西,1006.9,0,29.0,0.0,1,11.1,北北西,快晴,晴時々曇
2014/1/3,3.7,0,0.0,1,1.7,4.1,44.0,1015.7,1011.2,9.3,5.9,7.12,0.0,1,0.0,1,8.5,3.8,北北西,3.6,北北西,1011.1,0,34.0,0.0,1,6.5,北北西,曇後晴,薄曇
2014/1/4,5.5,0,0.0,1,2.5,4.6,48.0,1010.3,1005.8,7.5,6.5,8.24,0.0,1,0.0,1,11.7,2.4,北北西,6.2,北北西,1007.6,0,31.0,0.0,1,12.0,北北西,薄曇後一時晴,晴時々曇
2014/1/5,0.4,0,0.0,1,3.3,3.3,37.0,1017.2,1012.7,7.8,5.4,5.79,0.0,1,0.0,1,7.3,3.9,北北西,6.3,北北西,1013.2,0,30.0,0.0,1,12.8,北北西,曇,曇後晴
2014/1/6,8.8,0,0.0,1,3.7,3.2,37.0,1022.1,1017.6,1.0,5.3,11.63,0.0,1,0.0,1,10.5,2.1,北北西,8.4,北西,1019.5,0,18.0,0.0,1,15.6,北西,快晴,快晴
2014/1/7,8.3,0,0.0,1,2.0,4.2,46.0,1026.0,1021.5,3.5,5.5,10.88,0.0,1,0.0,1,9.9,1.9,北北東,4.7,南,1022.4,0,32.0,0.0,1,8.5,北北西,晴後一時曇,曇後一時晴
2014/1/8,2.7,0,0.0,1,1.9,6.2,59.0,1015.1,1010.6,9.5,7.3,5.67,15.5,0,0.0,1,12.8,2.8,北北東,5.0,北西,1004.1,0,39.0,1.0,0,9.9,西,曇時々晴一時雨,雨
2014/1/9,1.6,0,0.0,1,4.0,6.0,59.0,1007.8,1003.4,9.8,7.2,5.94,4.0,0,0.0,1,11.8,3.0,北北西,9.1,北北西,1001.3,0,28.0,0.5,0,17.6,北北西,曇一時雨,曇一時雪
2014/1/10,8.6,0,0.0,1,4.2,2.3,30.0,1020.5,1016.0,2.8,3.6,12.04,0.0,1,0.0,1,6.8,1.4,北北西,8.4,北北西,1015.9,0,15.0,0.0,1,15.8,西北西,快晴,快晴
2014/1/11,8.9,0,0.0,1,1.7,3.8,46.0,1024.3,1019.7,2.5,4.3,11.73,0.0,1,0.0,1,9.0,0.7,北西,3.5,北西,1022.5,0,27.0,0.0,1,5.5,北西,快晴,晴一時曇
2014/1/12,7.4,0,0.0,1,1.9,4.7,52.0,1018.7,1014.1,5.0,5.3,10.44,0.0,1,0.0,1,9.5,1.4,北北西,3.9,南東,1013.8,0,39.0,0.0,1,6.4,北北西,晴時々曇,晴
2014/1/13,8.6,0,0.0,1,3.5,3.1,35.0,1020.2,1015.7,1.0,5.1,12.02,0.0,1,0.0,1,8.3,2.4,北北西,7.1,北西,1014.7,0,24.0,0.0,1,14.3,北西,快晴,晴一時曇
2014/1/14,6.1,0,0.0,1,3.4,2.5,31.0,1026.8,1022.2,7.0,4.2,10.72,0.0,1,0.0,1,7.7,1.7,北北西,6.9,北北西,1024.4,0,23.0,0.0,1,14.8,北北西,晴一時曇,曇
2014/1/15,0.4,0,0.0,1,2.4,3.4,44.0,1026.0,1021.4,7.5,3.0,2.05,0.0,1,0.0,1,4.4,1.8,北北西,4.2,北北西,1023.8,0,39.0,0.0,1,7.2,西北西,曇,晴
2014/1/16,9.1,0,0.0,1,2.3,3.9,47.0,1022.6,1018.1,0.0,4.8,12.41,0.0,1,0.0,1,9.1,-0.2,北北西,5.3,北北西,1020.5,0,24.0,0.0,1,8.7,北北西,快晴,晴後一時曇
2014/1/17,7.2,0,0.0,1,2.7,3.7,41.0,1019.3,1014.8,5.5,5.8,11.1,0.0,1,0.0,1,9.5,2.9,北北西,5.3,北西,1017.4,0,27.0,0.0,1,10.1,西北西,晴一時曇,晴後曇
2014/1/18,7.0,0,0.0,1,2.0,3.9,44.0,1016.0,1011.4,7.0,5.2,10.5,0.0,1,0.0,1,8.6,2.8,北北西,4.2,北北西,1011.5,0,26.0,0.0,1,7.1,北,晴時々曇,曇時々晴後一時雪
2014/1/19,9.3,0,0.0,1,4.7,3.2,40.0,1018.1,1013.6,2.5,4.2,13.14,0.0,0,0.0,1,7.1,2.0,北北西,10.3,北西,1011.5,0,22.0,0.0,0,22.1,北北西,快晴,晴時々薄曇
2014/1/20,7.7,0,0.0,1,1.9,3.7,42.0,1018.8,1014.2,5.3,4.8,10.64,0.0,1,0.0,1,8.5,0.7,北西,5.2,北西,1010.8,0,27.0,0.0,1,6.8,北西,晴一時曇,薄曇後晴
2014/1/21,6.3,0,0.0,1,2.0,4.6,50.0,1011.2,1006.8,5.5,6.3,10.18,2.0,0,0.0,1,11.8,1.8,北北西,5.6,北北西,1008.7,0,25.0,0.5,0,10.5,北北西,晴後曇,雨時々曇一時みぞれ
2014/1/22,8.6,0,0.0,1,2.3,4.4,51.0,1017.6,1013.1,4.0,5.5,12.23,1.5,0,0.0,1,9.6,2.1,北北西,4.9,北西,1015.3,0,27.0,0.5,0,8.1,北西,晴後一時曇,晴一時曇
2014/1/23,9.4,0,0.0,1,2.5,3.4,35.0,1022.5,1017.9,0.5,6.5,13.03,0.0,1,0.0,1,11.1,2.8,北西,5.2,北北西,1019.6,0,24.0,0.0,1,10.1,北西,快晴,晴後曇
2014/1/24,6.6,0,0.0,1,2.1,5.0,49.0,1022.4,1017.9,5.3,7.2,10.84,0.0,1,0.0,1,12.6,2.4,北北西,3.9,南,1019.1,0,39.0,0.0,1,7.0,南,晴後一時曇,晴後一時薄曇
2014/1/25,1.2,0,0.0,1,1.3,6.0,54.0,1016.8,1012.4,9.0,8.4,7.01,0.0,1,0.0,1,12.4,3.0,北西,5.3,南南西,1011.2,0,37.0,0.0,1,10.1,南南西,薄曇,曇後一時雨
2014/1/26,5.0,0,0.0,1,4.9,6.2,49.0,1010.6,1006.2,5.3,9.5,9.23,0.0,0,0.0,1,14.5,2.4,北北西,9.9,北西,1006.5,0,27.0,0.0,0,18.0,北北西,晴時々曇一時雨,快晴
2014/1/27,9.5,0,0.0,1,3.2,3.1,35.0,1023.2,1018.7,2.5,4.6,13.77,0.0,1,0.0,1,7.5,1.4,北北西,7.1,北西,1019.5,0,22.0,0.0,1,12.7,北西,快晴,曇後晴
2014/1/28,9.1,0,0.0,1,3.1,4.2,39.0,1017.0,1012.5,2.8,8.8,13.21,0.0,1,0.0,1,15.0,1.1,南南西,7.0,南南西,1012.5,0,21.0,0.0,1,12.8,西北西,晴,晴一時曇
2014/1/29,9.5,0,0.0,1,3.0,5.1,43.0,1021.9,1017.4,2.0,8.9,13.75,0.0,1,0.0,1,12.8,4.9,北北西,6.2,北北西,1017.1,0,24.0,0.0,1,11.5,北北西,快晴,薄曇時々晴
2014/1/30,0.4,0,0.0,1,2.7,8.9,69.0,1014.8,1010.3,8.0,10.3,4.44,1.5,0,0.0,1,15.8,5.1,南南西,9.0,南南西,1004.4,0,52.0,0.5,0,14.9,南南西,曇時々雨,晴一時曇
2014/1/31,9.4,0,0.0,1,3.0,5.2,44.0,1014.6,1010.1,0.0,9.9,13.78,0.0,1,0.0,1,15.9,6.2,北北西,6.3,北北西,1004.4,0,22.0,0.0,1,11.5,北北西,快晴,晴後一時曇
2014/2/1,8.1,0,0.0,1,1.8,5.6,52.0,1021.3,1016.8,6.3,7.9,12.1,0.0,1,0.0,1,12.3,3.8,北東,4.1,北西,1018.6,0,31.0,0.0,1,6.8,北西,晴後一時薄曇,薄曇
2014/2/2,3.4,0,0.0,1,1.5,7.9,66.0,1010.9,1006.4,7.5,9.3,8.3,0.0,0,0.0,1,13.3,6.1,北北西,3.7,南南東,1005.7,0,48.0,0.0,0,5.7,南南東,曇一時雨,曇時々晴
2014/2/3,5.9,0,0.0,1,2.2,10.6,70.0,1003.5,999.1,8.0,12.8,10.85,0.0,1,0.0,1,17.8,7.0,北北西,6.5,西北西,998.8,0,52.0,0.0,1,9.7,南,薄曇時々晴,曇後一時雨
2014/2/4,0.0,0,0.0,0,3.7,6.7,75.0,1006.4,1001.9,8.5,5.0,0.95,5.0,0,0.0,1,11.8,0.9,北北東,8.2,北北西,1000.5,0,43.0,0.5,0,15.0,北北西,雨後みぞれ一時雪,晴一時雪
2014/2/5,8.6,0,0.0,1,4.5,2.4,35.0,1017.8,1013.2,0.8,1.6,14.81,0.0,1,0.0,1,5.2,-0.5,北北西,7.8,北北西,1012.5,0,24.0,0.0,1,15.6,北北西,晴,晴時々曇
